"season","total","weight"
"1988",11,72
"1988",25,75
"1988",22,78
"1988",51,81
"1988",26,84
"1988",32,87
"1988",33,90
"1988",37,93
"1988",34,96
"1988",27,99
"1988",46,102
"1988",19,105
"1988",20,108
"1988",25,111
"1988",5,114
"1988",8,117
"1988",0,120
"1988",3,123
"1988",0,126
"1988",0,129
"1988",0,132
"1988",0,135
"1988",0,138
"1988",0,141
"1988",0,144
"1988",0,147
"1988",0,150
"1988",0,153
"1988",0,156
"1988",0,159
"1988",0,162
"1989",2,60
"1989",0,63
"1989",0,66
"1989",0,69
"1989",11,72
"1989",18,75
"1989",20,78
"1989",64,81
"1989",29,84
"1989",33,87
"1989",32,90
"1989",32,93
"1989",37,96
"1989",36,99
"1989",38,102
"1989",23,105
"1989",17,108
"1989",30,111
"1989",7,114
"1989",5,117
"1989",1,120
"1989",3,123
"1989",0,126
"1989",0,129
"1989",0,132
"1989",0,135
"1989",0,138
"1989",0,141
"1989",0,144
"1989",0,147
"1989",0,150
"1989",0,153
"1989",0,156
"1989",0,159
"1989",0,162
"1990",2,60
"1990",1,63
"1990",0,66
"1990",1,69
"1990",14,72
"1990",21,75
"1990",17,78
"1990",70,81
"1990",27,84
"1990",32,87
"1990",42,90
"1990",32,93
"1990",35,96
"1990",33,99
"1990",51,102
"1990",21,105
"1990",20,108
"1990",27,111
"1990",8,114
"1990",0,117
"1990",2,120
"1990",3,123
"1990",0,126
"1990",0,129
"1990",0,132
"1990",0,135
"1990",0,138
"1990",0,141
"1990",0,144
"1990",0,147
"1990",0,150
"1990",0,153
"1990",0,156
"1990",0,159
"1990",0,162
"1991",2,60
"1991",1,63
"1991",0,66
"1991",0,69
"1991",9,72
"1991",13,75
"1991",16,78
"1991",65,81
"1991",31,84
"1991",27,87
"1991",44,90
"1991",37,93
"1991",28,96
"1991",25,99
"1991",55,102
"1991",24,105
"1991",21,108
"1991",29,111
"1991",4,114
"1991",2,117
"1991",5,120
"1991",3,123
"1991",0,126
"1991",0,129
"1991",0,132
"1991",0,135
"1991",0,138
"1991",0,141
"1991",0,144
"1991",0,147
"1991",0,150
"1991",0,153
"1991",0,156
"1991",0,159
"1991",0,162
"1992",2,60
"1992",3,63
"1992",3,66
"1992",0,69
"1992",8,72
"1992",11,75
"1992",29,78
"1992",69,81
"1992",32,84
"1992",16,87
"1992",42,90
"1992",40,93
"1992",34,96
"1992",35,99
"1992",48,102
"1992",23,105
"1992",21,108
"1992",23,111
"1992",5,114
"1992",3,117
"1992",4,120
"1992",6,123
"1992",0,126
"1992",1,129
"1992",0,132
"1992",0,135
"1992",0,138
"1992",0,141
"1992",0,144
"1992",0,147
"1992",0,150
"1992",0,153
"1992",0,156
"1992",0,159
"1992",0,162
"1993",2,60
"1993",1,63
"1993",0,66
"1993",1,69
"1993",9,72
"1993",7,75
"1993",17,78
"1993",60,81
"1993",28,84
"1993",22,87
"1993",44,90
"1993",33,93
"1993",34,96
"1993",38,99
"1993",45,102
"1993",29,105
"1993",30,108
"1993",29,111
"1993",7,114
"1993",2,117
"1993",4,120
"1993",4,123
"1993",1,126
"1993",1,129
"1993",0,132
"1993",0,135
"1993",0,138
"1993",0,141
"1993",0,144
"1993",1,147
"1993",0,150
"1993",0,153
"1993",0,156
"1993",0,159
"1993",0,162
"1994",2,60
"1994",0,63
"1994",1,66
"1994",0,69
"1994",9,72
"1994",10,75
"1994",18,78
"1994",54,81
"1994",36,84
"1994",17,87
"1994",60,90
"1994",36,93
"1994",36,96
"1994",30,99
"1994",49,102
"1994",31,105
"1994",29,108
"1994",36,111
"1994",7,114
"1994",6,117
"1994",9,120
"1994",1,123
"1994",1,126
"1994",1,129
"1994",0,132
"1994",1,135
"1994",0,138
"1994",0,141
"1994",0,144
"1994",1,147
"1994",0,150
"1994",0,153
"1994",0,156
"1994",0,159
"1994",0,162
"1995",2,60
"1995",1,63
"1995",1,66
"1995",0,69
"1995",11,72
"1995",15,75
"1995",23,78
"1995",47,81
"1995",35,84
"1995",20,87
"1995",45,90
"1995",33,93
"1995",33,96
"1995",25,99
"1995",56,102
"1995",20,105
"1995",31,108
"1995",29,111
"1995",7,114
"1995",4,117
"1995",9,120
"1995",2,123
"1995",1,126
"1995",0,129
"1995",0,132
"1995",1,135
"1995",0,138
"1995",0,141
"1995",0,144
"1995",1,147
"1995",0,150
"1995",0,153
"1995",0,156
"1995",0,159
"1995",0,162
"1996",4,60
"1996",4,63
"1996",2,66
"1996",0,69
"1996",6,72
"1996",19,75
"1996",17,78
"1996",53,81
"1996",39,84
"1996",30,87
"1996",42,90
"1996",41,93
"1996",40,96
"1996",34,99
"1996",70,102
"1996",32,105
"1996",33,108
"1996",37,111
"1996",11,114
"1996",8,117
"1996",14,120
"1996",2,123
"1996",3,126
"1996",1,129
"1996",0,132
"1996",1,135
"1996",0,138
"1996",0,141
"1996",0,144
"1996",2,147
"1996",0,150
"1996",0,153
"1996",0,156
"1996",0,159
"1996",0,162
"1997",1,60
"1997",0,63
"1997",2,66
"1997",0,69
"1997",7,72
"1997",16,75
"1997",14,78
"1997",55,81
"1997",44,84
"1997",35,87
"1997",57,90
"1997",46,93
"1997",36,96
"1997",44,99
"1997",59,102
"1997",33,105
"1997",35,108
"1997",36,111
"1997",20,114
"1997",3,117
"1997",18,120
"1997",2,123
"1997",6,126
"1997",2,129
"1997",0,132
"1997",1,135
"1997",0,138
"1997",0,141
"1997",0,144
"1997",2,147
"1997",0,150
"1997",0,153
"1997",0,156
"1997",0,159
"1997",0,162
"1998",4,60
"1998",0,63
"1998",2,66
"1998",1,69
"1998",12,72
"1998",15,75
"1998",14,78
"1998",44,81
"1998",44,84
"1998",33,87
"1998",48,90
"1998",45,93
"1998",32,96
"1998",47,99
"1998",68,102
"1998",30,105
"1998",31,108
"1998",41,111
"1998",13,114
"1998",5,117
"1998",9,120
"1998",1,123
"1998",4,126
"1998",2,129
"1998",0,132
"1998",0,135
"1998",0,138
"1998",0,141
"1998",0,144
"1998",2,147
"1998",0,150
"1998",0,153
"1998",0,156
"1998",0,159
"1998",0,162
"1999",4,60
"1999",0,63
"1999",3,66
"1999",0,69
"1999",6,72
"1999",10,75
"1999",15,78
"1999",47,81
"1999",43,84
"1999",22,87
"1999",37,90
"1999",37,93
"1999",38,96
"1999",41,99
"1999",68,102
"1999",32,105
"1999",29,108
"1999",35,111
"1999",13,114
"1999",7,117
"1999",6,120
"1999",2,123
"1999",7,126
"1999",2,129
"1999",0,132
"1999",2,135
"1999",0,138
"1999",0,141
"1999",0,144
