"season","total","height"
"2007",22,195
"2007",42,198
"2007",91,201
"2007",79,204
"2007",49,207
"2007",42,210
"2007",26,213
"2007",12,216
"2007",1,219
"2007",0,222
"2007",0,225
"2007",2,228
"2007",0,231
"2008",0,159
"2008",0,162
"2008",1,165
"2008",0,168
"2008",0,171
"2008",1,174
"2008",9,177
"2008",2,180
"2008",47,183
"2008",25,186
"2008",40,189
"2008",41,192
"2008",42,195
"2008",47,198
"2008",107,201
"2008",79,204
"2008",51,207
"2008",48,210
"2008",36,213
"2008",16,216
"2008",1,219
"2008",0,222
"2008",0,225
"2008",2,228
"2008",0,231
"2009",0,159
"2009",0,162
"2009",0,165
"2009",0,168
"2009",0,171
"2009",1,174
"2009",1,177
"2009",4,180
"2009",46,183
"2009",24,186
"2009",44,189
"2009",31,192
"2009",42,195
"2009",40,198
"2009",115,201
"2009",74,204
"2009",56,207
"2009",44,210
"2009",41,213
"2009",17,216
"2009",1,219
"2009",0,222
"2009",0,225
"2009",1,228
"2009",0,231
"2010",0,159
"2010",0,162
"2010",1,165
"2010",0,168
"2010",0,171
"2010",3,174
"2010",1,177
"2010",2,180
"2010",41,183
"2010",24,186
"2010",59,189
"2010",28,192
"2010",31,195
"2010",43,198
"2010",118,201
"2010",70,204
"2010",55,207
"2010",45,210
"2010",38,213
"2010",17,216
"2010",2,219
"2010",0,222
"2010",0,225
"2010",0,228
"2010",0,231
"2011",0,159
"2011",0,162
"2011",1,165
"2011",0,168
"2011",0,171
"2011",3,174
"2011",0,177
"2011",3,180
"2011",50,183
"2011",18,186
"2011",59,189
"2011",31,192
"2011",33,195
"2011",52,198
"2011",123,201
"2011",70,204
"2011",59,207
"2011",59,210
"2011",40,213
"2011",19,216
"2011",4,219
"2011",0,222
"2011",0,225
"2011",1,228
"2011",0,231
"2012",0,159
"2012",0,162
"2012",1,165
"2012",0,168
"2012",0,171
"2012",1,174
"2012",3,177
"2012",7,180
"2012",38,183
"2012",26,186
"2012",60,189
"2012",20,192
"2012",36,195
"2012",37,198
"2012",105,201
"2012",56,204
"2012",57,207
"2012",54,210
"2012",34,213
"2012",13,216
"2012",3,219
"2012",0,222
"2012",0,225
"2012",0,228
"2012",0,231
"2013",0,159
"2013",0,162
"2013",0,165
"2013",0,168
"2013",0,171
"2013",1,174
"2013",2,177
"2013",3,180
"2013",39,183
"2013",35,186
"2013",64,189
"2013",33,192
"2013",30,195
"2013",38,198
"2013",95,201
"2013",78,204
"2013",63,207
"2013",49,210
"2013",30,213
"2013",12,216
"2013",1,219
"2013",0,222
"2013",0,225
"2013",0,228
"2013",0,231
"2014",0,159
"2014",0,162
"2014",0,165
"2014",0,168
"2014",0,171
"2014",1,174
"2014",5,177
"2014",3,180
"2014",31,183
"2014",31,186
"2014",60,189
"2014",42,192
"2014",44,195
"2014",31,198
"2014",123,201
"2014",85,204
"2014",50,207
"2014",48,210
"2014",42,213
"2014",14,216
"2014",1,219
"2014",0,222
"2014",0,225
"2014",0,228
"2014",0,231
"2015",0,159
"2015",0,162
"2015",0,165
"2015",0,168
"2015",0,171
"2015",3,174
"2015",4,177
"2015",4,180
"2015",54,183
"2015",23,186
"2015",56,189
"2015",46,192
"2015",42,195
"2015",46,198
"2015",112,201
"2015",83,204
"2015",67,207
"2015",55,210
"2015",41,213
"2015",14,216
"2015",0,219
"2015",0,222
"2015",1,225
"2015",0,228
"2015",0,231
"2016",0,159
"2016",0,162
"2016",0,165
"2016",0,168
"2016",0,171
"2016",1,174
"2016",2,177
"2016",7,180
"2016",43,183
"2016",31,186
"2016",47,189
"2016",41,192
"2016",37,195
"2016",46,198
"2016",99,201
"2016",72,204
"2016",57,207
"2016",46,210
"2016",32,213
"2016",13,216
"2016",4,219
"2016",0,222
"2016",0,225
"2016",0,228
"2016",0,231
"2017",0,159
"2017",0,162
"2017",0,165
"2017",0,168
"2017",0,171
"2017",1,174
"2017",3,177
"2017",1,180
"2017",33,183
"2017",31,186
"2017",51,189
"2017",37,192
"2017",40,195
"2017",57,198
"2017",105,201
"2017",78,204
"2017",49,207
"2017",57,210
"2017",32,213
"2017",18,216
"2017",2,219
"2017",0,222
"2017",0,225
"2017",0,228
"2017",0,231
